idServicio,idAlojammiento
1,70560
2,68509
3,155821
4,73253
5,107934
6,152962
7,81590
8,98861
9,45943
10,47544
11,46832
12,139207
13,121171
14,102536
15,41533
16,133865
17,80922
18,171954
19,30225
20,141578
21,160376
22,9644
23,130661
24,23145
25,35070
26,51365
27,94398
28,123376
29,7809
30,69110
31,167520
32,152022
33,144440
34,121785
35,13158
36,147813
37,52863
38,51195
39,54415
40,65289
41,73186
42,113011
43,28970
44,130708
45,109218
46,137326
47,58998
48,170719
49,25101
50,15475
51,164822
52,174987
53,176041
54,40938
55,93339
56,51677
57,154346
58,88553
59,57193
60,22380
61,166369
62,99347
63,76803
64,55778
65,131019
66,79645
67,87594
68,67489
69,88650
70,73090
71,119916
72,164386
73,119648
74,137244
75,164486
76,152032
77,69453
78,111924
79,786
80,64555
81,108022
82,1829
83,151910
84,123497
85,178443
86,158866
87,39952
88,146018
89,132012
90,48529
91,106192
92,147546
93,135471
94,76447
95,22932
96,5321
97,168279
98,18574
99,101275
100,55656
101,98322
102,59826
103,168064
104,39004
105,86793
106,139052
107,5033
108,148079
109,28871
110,125242
111,40808
112,140492
113,92864
114,58180
115,55057
116,22646
117,169165
118,57010
119,175269
120,4383
121,10242
122,175304
123,36766
124,87286
125,169702
126,98544
127,148754
128,24887
129,14921
130,116830
131,46480
132,1082
133,4745
134,4627
135,29052
136,73706
137,74666
138,93686
139,91942
140,107265
141,147961
142,29643
143,177855
144,147099
145,145481
146,178656
147,164985
148,118988
149,143991
150,10286
151,136323
152,67688
153,18827
154,40437
155,17270
156,96421
157,98549
158,130762
159,85045
160,122706
161,52471
162,102900
163,78251
164,50154
165,35812
166,54176
167,169665
168,52749
169,79026
170,46951
171,19284
172,3184
173,28040
174,88721
175,122860
176,107070
177,105216
178,142860
179,99162
180,15480
181,10256
182,61845
183,95034
184,29277
185,55405
186,113897
187,5965
188,41617
189,95853
190,134046
191,1900
192,69186
193,121706
194,98925
195,127600
196,48419
197,106301
198,101281
199,103780
200,136340
201,111562
202,3850
203,39688
204,1093
205,5670
206,9364
207,156299
208,177919
209,61096
210,163956
211,105231
212,26724
213,175163
214,116481
215,53219
216,142866
217,69406
218,113339
219,148114
220,168403
221,131748
222,69948
223,101570
224,29275
225,23061
226,3123
227,171044
228,140993
229,36894
230,122546
231,82192
232,152192
233,73144
234,98013
235,29215
236,137187
237,165263
238,12808
239,93503
240,74967
241,131253
242,98984
243,60388
244,148538
245,8633
246,82247
247,110039
248,65462
249,103861
250,22556
251,51944
252,82820
253,103259
254,126927
255,105268
256,165306
257,80349
258,112983
259,44903
260,85863
261,46170
262,58124
