idAlojamiento,tipoHabitacion
90001,Estandar
90002,Semisuites
90003,Semisuites
90004,Semisuites
90005,Suites
90006,Semisuites
90007,Suites
90008,Semisuites
90009,Suites
90010,Suites
90011,Estandar
90012,Suites
90013,Estandar
90014,Estandar
90015,Suites
90016,Semisuites
90017,Estandar
90018,Semisuites
90019,Semisuites
90020,Estandar
90021,Estandar
90022,Semisuites
90023,Estandar
90024,Suites
90025,Semisuites
90026,Suites
90027,Estandar
90028,Semisuites
90029,Suites
90030,Estandar
90031,Suites
90032,Estandar
90033,Suites
90034,Semisuites
90035,Suites
90036,Semisuites
90037,Semisuites
90038,Estandar
90039,Estandar
90040,Suites
90041,Estandar
90042,Suites
90043,Suites
90044,Suites
90045,Semisuites
90046,Suites
90047,Estandar
90048,Estandar
90049,Semisuites
90050,Estandar
90051,Semisuites
90052,Suites
90053,Semisuites
90054,Semisuites
90055,Estandar
90056,Suites
90057,Suites
90058,Suites
90059,Semisuites
90060,Semisuites
90061,Estandar
90062,Estandar
90063,Estandar
90064,Semisuites
90065,Semisuites
90066,Suites
90067,Estandar
90068,Estandar
90069,Estandar
90070,Semisuites
90071,Semisuites
90072,Estandar
90073,Semisuites
90074,Estandar
90075,Estandar
90076,Suites
90077,Suites
90078,Estandar
90079,Semisuites
90080,Semisuites
90081,Semisuites
90082,Suites
90083,Estandar
90084,Semisuites
90085,Semisuites
90086,Estandar
90087,Semisuites
90088,Estandar
90089,Semisuites
90090,Suites
90091,Suites
90092,Semisuites
90093,Semisuites
90094,Semisuites
90095,Semisuites
90096,Suites
90097,Semisuites
90098,Suites
90099,Suites
90100,Semisuites
90101,Suites
90102,Semisuites
90103,Estandar
90104,Suites
90105,Suites
90106,Estandar
90107,Semisuites
90108,Estandar
90109,Estandar
90110,Suites
90111,Suites
90112,Estandar
90113,Estandar
90114,Suites
90115,Estandar
90116,Suites
90117,Estandar
90118,Suites
90119,Suites
90120,Suites
90121,Semisuites
90122,Estandar
90123,Suites
90124,Estandar
90125,Estandar
90126,Semisuites
90127,Estandar
90128,Suites
90129,Semisuites
90130,Estandar
90131,Semisuites
90132,Semisuites
90133,Semisuites
90134,Suites
90135,Suites
90136,Estandar
90137,Semisuites
90138,Suites
90139,Semisuites
90140,Suites
90141,Suites
90142,Semisuites
90143,Suites
90144,Suites
90145,Semisuites
90146,Estandar
90147,Semisuites
90148,Suites
90149,Semisuites
90150,Suites
90151,Suites
90152,Semisuites
90153,Estandar
90154,Estandar
90155,Estandar
90156,Estandar
90157,Suites
90158,Semisuites
90159,Estandar
90160,Suites
90161,Estandar
90162,Estandar
90163,Semisuites
90164,Suites
90165,Semisuites
90166,Semisuites
90167,Estandar
90168,Estandar
90169,Suites
90170,Suites
90171,Suites
90172,Semisuites
90173,Semisuites
90174,Suites
90175,Semisuites
90176,Estandar
90177,Suites
90178,Estandar
90179,Suites
90180,Estandar
90181,Suites
90182,Semisuites
90183,Semisuites
90184,Suites
90185,Estandar
90186,Suites
90187,Estandar
90188,Estandar
90189,Suites
90190,Semisuites
90191,Suites
90192,Semisuites
90193,Estandar
90194,Estandar
90195,Estandar
90196,Suites
90197,Estandar
90198,Semisuites
90199,Semisuites
90200,Semisuites
90201,Estandar
90202,Suites
90203,Suites
90204,Semisuites
90205,Semisuites
90206,Estandar
90207,Suites
90208,Semisuites
90209,Semisuites
90210,Suites
90211,Suites
90212,Estandar
90213,Suites
90214,Suites
90215,Semisuites
90216,Suites
90217,Semisuites
90218,Suites
90219,Suites
90220,Suites
90221,Suites
90222,Estandar
90223,Semisuites
90224,Semisuites
90225,Semisuites
90226,Estandar
90227,Estandar
90228,Suites
90229,Suites
90230,Estandar
90231,Suites
90232,Suites
90233,Suites
90234,Semisuites
90235,Estandar
90236,Semisuites
90237,Estandar
90238,Estandar
90239,Suites
90240,Estandar
90241,Estandar
90242,Estandar
90243,Semisuites
90244,Semisuites
90245,Semisuites
90246,Suites
90247,Semisuites
90248,Suites
90249,Semisuites
90250,Semisuites
90251,Estandar
90252,Suites
90253,Estandar
90254,Suites
90255,Semisuites
90256,Semisuites
90257,Estandar
90258,Semisuites
90259,Suites
90260,Estandar
90261,Semisuites
90262,Semisuites
90263,Suites
90264,Estandar
90265,Suites
90266,Semisuites
90267,Semisuites
90268,Semisuites
90269,Suites
90270,Suites
90271,Suites
90272,Semisuites
90273,Estandar
90274,Estandar
90275,Semisuites
90276,Estandar
90277,Suites
90278,Suites
90279,Semisuites
90280,Suites
90281,Suites
90282,Suites
90283,Suites
90284,Suites
90285,Estandar
90286,Estandar
90287,Estandar
90288,Suites
90289,Semisuites
90290,Estandar
90291,Estandar
90292,Estandar
90293,Suites
90294,Semisuites
90295,Semisuites
90296,Suites
90297,Suites
90298,Estandar
90299,Semisuites
90300,Semisuites
90301,Estandar
90302,Estandar
90303,Semisuites
90304,Estandar
90305,Semisuites
90306,Estandar
90307,Estandar
90308,Semisuites
90309,Estandar
90310,Estandar
90311,Suites
90312,Estandar
90313,Estandar
90314,Semisuites
90315,Estandar
90316,Semisuites
90317,Estandar
90318,Suites
90319,Suites
90320,Estandar
90321,Suites
90322,Semisuites
90323,Semisuites
90324,Semisuites
90325,Semisuites
90326,Suites
90327,Semisuites
90328,Suites
90329,Suites
90330,Estandar
90331,Semisuites
