idAlojamiento,tipoBano,tipoHabitacion
30001,Privado,Individual
30002,Publico,Compartida
30003,Publico,Individual
30004,Publico,Compartida
30005,Privado,Individual
30006,Privado,Individual
30007,Privado,Individual
30008,Publico,Individual
30009,Publico,Compartida
30010,Privado,Individual
30011,Publico,Individual
30012,Publico,Compartida
30013,Privado,Individual
30014,Privado,Individual
30015,Privado,Compartida
30016,Privado,Individual
30017,Publico,Compartida
30018,Privado,Compartida
30019,Privado,Individual
30020,Publico,Compartida
30021,Publico,Individual
30022,Privado,Compartida
30023,Privado,Compartida
30024,Publico,Individual
30025,Privado,Individual
30026,Privado,Individual
30027,Publico,Compartida
30028,Publico,Individual
30029,Publico,Individual
30030,Publico,Individual
30031,Privado,Compartida
30032,Privado,Individual
30033,Privado,Compartida
30034,Publico,Compartida
30035,Privado,Individual
30036,Privado,Individual
30037,Privado,Individual
30038,Privado,Compartida
30039,Publico,Individual
30040,Publico,Individual
30041,Privado,Individual
30042,Publico,Compartida
30043,Privado,Compartida
30044,Privado,Individual
30045,Privado,Compartida
30046,Privado,Compartida
30047,Publico,Individual
30048,Privado,Individual
30049,Publico,Individual
30050,Privado,Compartida
30051,Publico,Compartida
30052,Privado,Individual
30053,Publico,Individual
30054,Publico,Compartida
30055,Privado,Individual
30056,Privado,Individual
30057,Privado,Individual
30058,Privado,Individual
30059,Publico,Individual
30060,Publico,Compartida
30061,Publico,Compartida
30062,Publico,Individual
30063,Privado,Compartida
30064,Privado,Individual
30065,Publico,Compartida
30066,Publico,Compartida
30067,Publico,Individual
30068,Privado,Compartida
30069,Privado,Compartida
30070,Publico,Individual
30071,Privado,Compartida
30072,Privado,Individual
30073,Privado,Individual
30074,Publico,Compartida
30075,Privado,Individual
30076,Privado,Individual
30077,Privado,Compartida
30078,Privado,Compartida
30079,Privado,Compartida
30080,Privado,Compartida
30081,Publico,Compartida
30082,Privado,Compartida
30083,Privado,Compartida
30084,Publico,Compartida
30085,Publico,Compartida
30086,Publico,Individual
30087,Privado,Compartida
30088,Privado,Individual
30089,Privado,Individual
30090,Publico,Individual
30091,Publico,Compartida
30092,Publico,Compartida
30093,Publico,Individual
30094,Privado,Individual
30095,Publico,Individual
30096,Publico,Compartida
30097,Publico,Compartida
30098,Privado,Compartida
30099,Publico,Individual
30100,Publico,Individual
30101,Publico,Individual
30102,Publico,Compartida
30103,Privado,Compartida
30104,Publico,Individual
30105,Privado,Individual
30106,Publico,Individual
30107,Publico,Individual
30108,Publico,Compartida
30109,Publico,Individual
30110,Privado,Individual
30111,Publico,Individual
30112,Publico,Compartida
30113,Publico,Compartida
30114,Privado,Individual
30115,Privado,Compartida
30116,Publico,Compartida
30117,Privado,Compartida
30118,Publico,Compartida
30119,Privado,Individual
30120,Publico,Individual
30121,Privado,Individual
30122,Privado,Individual
30123,Privado,Compartida
30124,Privado,Individual
30125,Publico,Individual
30126,Privado,Individual
30127,Privado,Compartida
30128,Privado,Compartida
30129,Privado,Individual
30130,Publico,Individual
30131,Privado,Compartida
30132,Publico,Individual
30133,Privado,Individual
30134,Publico,Individual
30135,Privado,Compartida
30136,Publico,Individual
30137,Publico,Compartida
30138,Privado,Individual
30139,Privado,Individual
30140,Privado,Individual
30141,Privado,Compartida
30142,Privado,Individual
30143,Publico,Individual
30144,Publico,Compartida
30145,Publico,Compartida
30146,Publico,Individual
30147,Privado,Compartida
30148,Publico,Individual
30149,Privado,Compartida
30150,Privado,Individual
30151,Privado,Individual
30152,Privado,Individual
30153,Publico,Individual
30154,Publico,Compartida
30155,Publico,Individual
30156,Publico,Compartida
30157,Publico,Compartida
30158,Privado,Compartida
30159,Privado,Individual
30160,Publico,Compartida
30161,Privado,Individual
30162,Privado,Compartida
30163,Publico,Individual
30164,Publico,Individual
30165,Privado,Compartida
30166,Publico,Individual
30167,Privado,Compartida
30168,Privado,Compartida
30169,Publico,Compartida
30170,Publico,Individual
30171,Publico,Compartida
30172,Publico,Compartida
30173,Publico,Individual
30174,Privado,Individual
30175,Publico,Individual
30176,Privado,Individual
30177,Privado,Compartida
30178,Privado,Compartida
30179,Publico,Compartida
30180,Publico,Compartida
30181,Privado,Individual
30182,Publico,Compartida
30183,Privado,Compartida
30184,Publico,Individual
30185,Publico,Individual
30186,Privado,Individual
30187,Privado,Individual
30188,Publico,Compartida
30189,Privado,Compartida
30190,Publico,Compartida
30191,Privado,Individual
30192,Privado,Compartida
30193,Privado,Individual
30194,Privado,Compartida
30195,Publico,Individual
30196,Publico,Individual
30197,Privado,Compartida
30198,Publico,Compartida
30199,Privado,Compartida
30200,Publico,Compartida
30201,Publico,Individual
30202,Publico,Individual
30203,Publico,Compartida
30204,Privado,Compartida
30205,Publico,Individual
30206,Publico,Individual
30207,Publico,Compartida
30208,Privado,Compartida
30209,Privado,Individual
30210,Publico,Individual
30211,Publico,Compartida
30212,Publico,Individual
30213,Privado,Individual
30214,Publico,Compartida
30215,Publico,Individual
30216,Privado,Individual
30217,Privado,Compartida
30218,Privado,Individual
30219,Privado,Individual
30220,Publico,Compartida
30221,Publico,Individual
30222,Privado,Compartida
30223,Publico,Individual
30224,Privado,Compartida
30225,Publico,Individual
30226,Publico,Compartida
30227,Publico,Compartida
30228,Privado,Compartida
30229,Publico,Compartida
30230,Privado,Individual
30231,Privado,Individual
30232,Privado,Compartida
30233,Privado,Compartida
30234,Privado,Compartida
30235,Publico,Compartida
30236,Privado,Compartida
30237,Privado,Individual
30238,Publico,Compartida
30239,Publico,Individual
30240,Publico,Compartida
30241,Privado,Individual
30242,Privado,Compartida
30243,Privado,Individual
30244,Privado,Individual
30245,Privado,Compartida
30246,Privado,Individual
30247,Publico,Individual
30248,Publico,Compartida
30249,Publico,Compartida
30250,Publico,Compartida
30251,Publico,Individual
30252,Publico,Individual
30253,Privado,Individual
30254,Publico,Compartida
30255,Privado,Individual
30256,Publico,Individual
30257,Privado,Compartida
30258,Publico,Individual
30259,Privado,Individual
30260,Privado,Compartida
30261,Publico,Individual
30262,Privado,Individual
30263,Publico,Individual
30264,Privado,Compartida
30265,Publico,Compartida
30266,Privado,Compartida
30267,Privado,Individual
30268,Privado,Individual
30269,Privado,Compartida
30270,Publico,Individual
30271,Privado,Compartida
30272,Privado,Individual
30273,Privado,Individual
30274,Publico,Individual
30275,Privado,Individual
30276,Privado,Individual
30277,Privado,Compartida
30278,Publico,Compartida
30279,Privado,Individual
30280,Privado,Compartida
30281,Publico,Individual
30282,Privado,Compartida
30283,Privado,Individual
30284,Publico,Individual
30285,Publico,Individual
30286,Privado,Compartida
30287,Privado,Compartida
30288,Publico,Compartida
30289,Privado,Compartida
30290,Privado,Individual
30291,Publico,Individual
30292,Publico,Individual
30293,Privado,Individual
30294,Publico,Compartida
30295,Publico,Compartida
30296,Publico,Compartida
