idAlojamiento,horarioApertura,horarioCierre
120001,Estandar,Estandar
120002,Estandar,Suites
120003,Estandar,Semisuites
120004,Estandar,Semisuites
120005,Estandar,Estandar
120006,Suites,Estandar
120007,Estandar,Semisuites
120008,Estandar,Semisuites
120009,Semisuites,Suites
120010,Semisuites,Suites
120011,Estandar,Estandar
120012,Estandar,Semisuites
120013,Estandar,Suites
120014,Estandar,Semisuites
120015,Suites,Estandar
120016,Semisuites,Estandar
120017,Semisuites,Suites
120018,Suites,Estandar
120019,Semisuites,Estandar
120020,Suites,Suites
120021,Suites,Semisuites
120022,Semisuites,Estandar
120023,Semisuites,Estandar
120024,Semisuites,Estandar
120025,Estandar,Semisuites
120026,Semisuites,Estandar
120027,Suites,Estandar
120028,Suites,Semisuites
120029,Estandar,Estandar
120030,Estandar,Estandar
120031,Estandar,Estandar
120032,Estandar,Suites
120033,Estandar,Suites
120034,Suites,Suites
120035,Estandar,Semisuites
120036,Estandar,Estandar
120037,Semisuites,Semisuites
120038,Estandar,Semisuites
120039,Estandar,Estandar
120040,Estandar,Semisuites
120041,Suites,Estandar
120042,Estandar,Suites
120043,Semisuites,Suites
120044,Semisuites,Suites
120045,Estandar,Suites
120046,Semisuites,Semisuites
120047,Semisuites,Estandar
120048,Semisuites,Suites
120049,Estandar,Suites
120050,Semisuites,Semisuites
120051,Semisuites,Suites
120052,Semisuites,Semisuites
120053,Suites,Suites
120054,Estandar,Estandar
120055,Suites,Estandar
120056,Estandar,Estandar
120057,Semisuites,Semisuites
120058,Estandar,Semisuites
120059,Semisuites,Semisuites
120060,Suites,Suites
120061,Suites,Suites
120062,Suites,Estandar
120063,Semisuites,Semisuites
120064,Estandar,Estandar
120065,Semisuites,Semisuites
120066,Suites,Estandar
120067,Suites,Suites
120068,Suites,Semisuites
120069,Semisuites,Estandar
120070,Suites,Suites
120071,Semisuites,Estandar
120072,Suites,Semisuites
120073,Estandar,Semisuites
120074,Suites,Semisuites
120075,Suites,Semisuites
120076,Semisuites,Semisuites
120077,Suites,Semisuites
120078,Suites,Semisuites
120079,Semisuites,Estandar
120080,Semisuites,Estandar
120081,Estandar,Semisuites
120082,Semisuites,Semisuites
120083,Suites,Suites
120084,Estandar,Suites
120085,Suites,Estandar
120086,Suites,Semisuites
120087,Semisuites,Semisuites
120088,Suites,Estandar
120089,Semisuites,Semisuites
120090,Estandar,Semisuites
120091,Suites,Suites
120092,Suites,Estandar
120093,Suites,Semisuites
120094,Semisuites,Semisuites
120095,Suites,Estandar
120096,Suites,Semisuites
120097,Semisuites,Suites
120098,Suites,Estandar
120099,Semisuites,Suites
120100,Suites,Suites
120101,Estandar,Suites
120102,Estandar,Suites
120103,Semisuites,Semisuites
120104,Estandar,Semisuites
120105,Suites,Estandar
120106,Estandar,Semisuites
120107,Suites,Semisuites
120108,Semisuites,Suites
120109,Estandar,Semisuites
120110,Suites,Suites
