idMiembroActivo,carnet,tipo
1,202075974,Estudiante
2,201180368,Profesor visitante
3,201313567,Profesor titular
4,201908487,Empleado
5,202154003,Estudiante
6,201468968,Profesor visitante
7,201912612,Profesor titular
8,201851666,Profesor titular
9,200446505,Profesor titular
10,201320108,Estudiante
11,200746534,Profesor visitante
12,200734645,Estudiante
13,200094030,Profesor titular
14,201123231,Estudiante
15,201037748,Profesor visitante
16,200890063,Profesor visitante
17,200582572,Profesor titular
18,201844820,Profesor visitante
19,200910153,Empleado
20,202190760,Estudiante
21,202225644,Profesor titular
22,200862582,Profesor titular
23,201158022,Estudiante
24,200144455,Empleado
25,200838406,Profesor visitante
26,200527026,Profesor visitante
27,201350923,Profesor visitante
28,202261504,Estudiante
29,201005527,Profesor titular
30,202268847,Estudiante
31,200136122,Profesor visitante
32,201394842,Empleado
33,201172146,Profesor visitante
34,201318927,Estudiante
35,201804090,Estudiante
36,200914302,Empleado
37,201249660,Profesor titular
38,200790455,Empleado
39,200208675,Estudiante
40,200253112,Profesor visitante
41,202174640,Profesor titular
42,201527740,Profesor visitante
43,202162622,Empleado
44,200614888,Empleado
45,200830291,Empleado
46,200995886,Profesor titular
47,201843537,Profesor titular
48,201827973,Empleado
49,201533137,Empleado
50,200095740,Estudiante
51,202211350,Empleado
52,200735584,Profesor titular
53,200572452,Profesor titular
54,201879910,Profesor titular
55,200303064,Empleado
56,200773025,Profesor visitante
57,200839314,Profesor visitante
58,201234848,Profesor titular
59,201005132,Profesor titular
60,202146767,Estudiante
61,201495484,Profesor visitante
62,200533059,Estudiante
63,200404437,Profesor titular
64,200238209,Empleado
65,201757231,Estudiante
66,202243937,Empleado
67,202319919,Profesor titular
68,202204333,Profesor titular
69,201243935,Empleado
70,201459348,Empleado
71,201427801,Profesor visitante
72,201664793,Profesor titular
73,201037660,Profesor visitante
74,200804456,Profesor visitante
75,200939431,Estudiante
76,200517922,Empleado
77,200236741,Profesor titular
78,201088214,Empleado
79,200274719,Estudiante
80,200062519,Profesor titular
81,201964817,Empleado
82,200071924,Estudiante
83,201455893,Profesor visitante
84,200646086,Estudiante
85,200676805,Profesor titular
86,202250014,Empleado
87,201707699,Empleado
88,201102736,Profesor visitante
89,202183748,Profesor visitante
90,202035517,Empleado
91,200486575,Profesor titular
92,201945548,Profesor titular
93,200130231,Estudiante
94,201281065,Profesor visitante
95,200394934,Estudiante
96,202282966,Profesor visitante
97,201220855,Profesor visitante
98,200910016,Profesor titular
99,200976707,Profesor visitante
100,201536873,Profesor visitante
101,200669038,Estudiante
102,200661115,Profesor titular
103,201482230,Profesor visitante
104,201739535,Profesor visitante
105,201486576,Estudiante
106,202292759,Profesor titular
107,200979079,Estudiante
108,200654547,Profesor visitante
109,200637605,Estudiante
110,201171490,Profesor visitante
111,201059428,Profesor titular
112,200961308,Estudiante
113,200715845,Profesor visitante
114,201758947,Profesor titular
115,202061336,Profesor titular
116,200617423,Estudiante
117,201462918,Empleado
118,200139848,Empleado
119,201987964,Estudiante
120,200836978,Empleado
121,201911530,Empleado
122,200521936,Estudiante
123,201232902,Profesor titular
124,201936664,Empleado
125,201334674,Estudiante
126,200964080,Profesor titular
127,201454045,Profesor titular
128,202179527,Profesor titular
129,200195926,Empleado
130,200263956,Profesor visitante
131,202084633,Profesor visitante
132,201595286,Profesor visitante
133,201072904,Empleado
134,200006060,Empleado
135,200555102,Empleado
136,200266655,Profesor visitante
137,201351414,Profesor titular
138,200199642,Profesor titular
139,200893898,Profesor titular
140,201508350,Profesor titular
141,201853658,Profesor titular
142,200813401,Profesor titular
143,201935373,Estudiante
144,201612177,Profesor visitante
145,201837356,Estudiante
146,202133233,Empleado
147,200967121,Profesor visitante
148,200578009,Empleado
149,202110808,Empleado
150,201837575,Profesor visitante
151,201341435,Profesor visitante
152,200836237,Estudiante
153,201128014,Empleado
154,201905629,Profesor titular
155,200473337,Profesor visitante
156,200383395,Empleado
157,200615535,Profesor titular
158,202225325,Estudiante
159,200851254,Profesor visitante
160,202195002,Estudiante
161,201255074,Empleado
162,202043017,Profesor visitante
163,200370459,Profesor titular
164,202276996,Empleado
165,200833524,Profesor titular
166,201930060,Profesor titular
167,201501325,Estudiante
168,201501880,Empleado
169,200851685,Profesor titular
170,201170589,Empleado
171,200282793,Profesor visitante
172,202248858,Estudiante
173,201044215,Profesor titular
174,200855640,Estudiante
175,201053568,Empleado
176,200369762,Profesor titular
177,200168712,Profesor titular
178,201081346,Profesor visitante
179,200909210,Profesor titular
180,201596175,Empleado
181,200085803,Empleado
182,200201973,Empleado
183,200078989,Empleado
184,201821080,Profesor titular
185,201628736,Profesor titular
186,200429716,Profesor visitante
187,200739693,Empleado
188,200861460,Profesor visitante
189,200716510,Profesor titular
190,200584428,Profesor visitante
191,201063135,Profesor titular
192,201357233,Estudiante
193,201174363,Empleado
194,200443015,Empleado
195,200316900,Empleado
196,202050786,Estudiante
197,201371804,Profesor visitante
198,200671762,Empleado
199,202224376,Empleado
200,201430197,Profesor titular
201,201313391,Empleado
202,201623325,Profesor visitante
203,202318781,Estudiante
204,201085305,Empleado
205,202058098,Estudiante
206,202125783,Estudiante
207,201709281,Estudiante
208,200953434,Estudiante
209,200659603,Empleado
210,201833720,Estudiante
211,201923986,Estudiante
212,200508739,Profesor visitante
213,202160229,Profesor titular
214,200027567,Profesor titular
215,201447268,Estudiante
216,200788013,Empleado
217,200154384,Estudiante
218,202020656,Empleado
219,202078463,Empleado
220,200596123,Profesor visitante
221,200688779,Profesor visitante
222,200957050,Profesor titular
223,201730228,Empleado
224,200803543,Empleado
225,200010210,Profesor titular
226,200095295,Estudiante
227,200807362,Estudiante
228,201467323,Empleado
229,201165058,Profesor visitante
230,201202141,Estudiante
231,201333111,Profesor visitante
232,200046442,Estudiante
233,201830037,Estudiante
234,200715855,Estudiante
235,200298035,Profesor titular
236,201379210,Estudiante
237,200971533,Profesor titular
238,201520761,Estudiante
239,200853064,Profesor visitante
240,201731490,Profesor visitante
241,200317606,Profesor visitante
242,201829395,Profesor visitante
243,200854583,Profesor titular
244,200975777,Profesor titular
245,200975873,Profesor titular
246,200933337,Empleado
247,201310211,Profesor visitante
248,201514821,Profesor titular
249,202103446,Profesor visitante
250,202289789,Profesor titular
251,200888862,Profesor titular
252,200310130,Profesor visitante
253,200900995,Profesor visitante
254,201883781,Estudiante
255,201743099,Profesor titular
256,200360694,Estudiante
257,200250610,Profesor visitante
258,201702555,Estudiante
259,200249520,Profesor visitante
260,200257577,Profesor visitante
261,201493357,Profesor visitante
262,200767550,Empleado
263,200344722,Profesor titular
264,200020692,Empleado
265,200248516,Profesor visitante
266,200315727,Profesor visitante
267,202167650,Profesor visitante
268,200231706,Profesor titular
269,200595986,Profesor titular
270,202259444,Estudiante
271,202160672,Profesor visitante
272,200038427,Profesor visitante
273,200048196,Empleado
274,200819081,Estudiante
275,200483470,Estudiante
276,202295610,Empleado
277,201419743,Estudiante
278,200508490,Empleado
279,201430151,Profesor visitante
280,200761095,Empleado
281,201000312,Profesor visitante
282,201526638,Profesor titular
283,201706874,Profesor titular
284,201790575,Profesor titular
285,200563539,Profesor visitante
286,200034229,Estudiante
287,200332598,Profesor visitante
288,200614284,Empleado
289,200245853,Empleado
290,200094844,Profesor visitante
291,200456269,Profesor visitante
292,201490948,Profesor titular
293,201012086,Profesor visitante
294,200507195,Profesor visitante
295,200061561,Empleado
296,202292591,Estudiante
297,200751724,Empleado
298,201167473,Empleado
299,200395894,Estudiante
300,202244748,Empleado
301,200177920,Estudiante
302,200741877,Estudiante
303,200333089,Profesor visitante
304,201021657,Profesor visitante
305,200124596,Profesor titular
306,200749721,Empleado
307,200437141,Empleado
308,200480854,Profesor visitante
309,202033837,Estudiante
310,201422260,Profesor titular
311,200328360,Profesor titular
312,201202631,Profesor visitante
313,201029306,Profesor titular
314,201418749,Estudiante
315,202122275,Profesor titular
316,201510765,Estudiante
317,201437761,Profesor titular
318,201950464,Profesor visitante
319,202194957,Estudiante
320,201333601,Profesor visitante
321,201313278,Estudiante
322,200690771,Profesor visitante
323,201745381,Estudiante
324,201084748,Estudiante
325,200185556,Estudiante
326,200973343,Estudiante
327,202210007,Estudiante
328,201661432,Profesor visitante
329,201831269,Estudiante
330,201136660,Profesor titular
331,200176604,Estudiante
332,201782741,Profesor titular
333,201846199,Estudiante
334,200412331,Profesor visitante
335,200680414,Profesor visitante
336,200498310,Estudiante
337,200823622,Estudiante
338,201528458,Profesor visitante
339,200429020,Profesor titular
340,200784523,Profesor visitante
341,201192252,Profesor visitante
342,200747212,Profesor visitante
343,201350855,Estudiante
344,200257112,Profesor titular
345,201380448,Profesor visitante
346,200489407,Empleado
347,201501164,Profesor visitante
348,202289884,Profesor titular
349,202085608,Estudiante
350,201347789,Profesor visitante
351,200977804,Profesor visitante
352,201082895,Empleado
353,200307496,Profesor visitante
354,201450776,Profesor visitante
355,202037046,Profesor titular
356,200951343,Profesor visitante
357,201819274,Profesor titular
358,200736121,Empleado
359,200638766,Estudiante
360,200412597,Estudiante
361,201927916,Estudiante
362,200047598,Empleado
363,200419134,Profesor visitante
364,201142863,Profesor visitante
365,200960494,Estudiante
366,202240932,Profesor titular
367,202211763,Profesor titular
368,200829472,Estudiante
369,200996080,Profesor visitante
370,200383438,Empleado
371,201980531,Profesor visitante
372,202222965,Empleado
373,200246886,Empleado
374,201668994,Empleado
375,200323703,Profesor visitante
376,200915798,Estudiante
377,200686484,Profesor titular
378,200037779,Profesor visitante
379,200475315,Empleado
380,201317881,Empleado
381,200298183,Profesor visitante
382,200282525,Profesor visitante
383,201326668,Estudiante
384,200703876,Estudiante
385,202296806,Profesor titular
386,202038717,Estudiante
387,200603728,Profesor visitante
388,200486300,Profesor visitante
389,200757597,Estudiante
390,201808847,Profesor visitante
391,201512219,Profesor titular
392,201637905,Empleado
393,200184208,Profesor titular
394,200291711,Profesor visitante
395,202083355,Profesor visitante
396,201288205,Empleado
397,200075031,Profesor titular
398,200719978,Empleado
399,201384215,Estudiante
400,200364546,Profesor titular
401,201307957,Profesor visitante
402,201130169,Profesor visitante
403,200287879,Empleado
404,200389515,Profesor titular
405,200488649,Estudiante
406,200506414,Profesor titular
407,200050997,Profesor visitante
408,201657246,Profesor titular
409,201314835,Estudiante
410,200563606,Empleado
411,200747186,Profesor titular
412,200364989,Empleado
413,201413428,Profesor visitante
414,202207109,Empleado
415,201407556,Estudiante
416,200714055,Profesor titular
417,200375808,Empleado
418,202004798,Profesor visitante
419,201217522,Profesor visitante
420,202156454,Profesor visitante
421,202071829,Profesor titular
422,200001851,Estudiante
423,201403922,Estudiante
424,200369645,Empleado
425,200174617,Profesor titular
426,202039377,Empleado
427,201451932,Empleado
428,201652219,Profesor titular
429,200488946,Profesor titular
430,200081044,Profesor titular
431,201481466,Estudiante
432,200730743,Empleado
433,202199112,Profesor titular
434,201252016,Profesor visitante
435,200429972,Estudiante
436,200705358,Profesor titular
437,202209310,Estudiante
438,201473806,Profesor visitante
439,201229605,Profesor titular
440,201642603,Profesor visitante
441,200147313,Empleado
442,201906169,Estudiante
443,200051644,Profesor visitante
444,200060907,Empleado
445,201304089,Estudiante
446,202041389,Empleado
447,201697025,Profesor titular
448,200891023,Profesor titular
449,201665483,Empleado
450,201452790,Estudiante
451,200367124,Estudiante
452,201330511,Estudiante
453,201830074,Estudiante
454,200172281,Estudiante
455,201694344,Estudiante
456,202180873,Estudiante
457,201069964,Profesor visitante
458,201430550,Estudiante
459,200528937,Profesor titular
460,201003888,Profesor titular
461,201396111,Estudiante
462,200901613,Profesor visitante
463,201247960,Profesor visitante
464,200592357,Estudiante
465,201382803,Profesor titular
466,201508207,Profesor visitante
467,201151183,Profesor visitante
468,200779563,Profesor visitante
469,201980603,Profesor titular
470,202196231,Estudiante
471,200989681,Empleado
472,202112963,Profesor visitante
473,201068667,Empleado
474,200927165,Profesor visitante
475,200342301,Estudiante
476,201756230,Profesor visitante
477,200070971,Estudiante
478,200639505,Empleado
479,200574514,Estudiante
480,200513596,Profesor visitante
