idMiembroSecundario,tipo
90001,Egresado
90002,Invitado
90003,Egresado
90004,Padre
90005,Egresado
90006,Egresado
90007,Padre
90008,Invitado
90009,Invitado
90010,Invitado
90011,Egresado
90012,Egresado
90013,Invitado
90014,Invitado
90015,Padre
90016,Invitado
90017,Egresado
90018,Padre
90019,Invitado
90020,Egresado
90021,Egresado
90022,Padre
90023,Egresado
90024,Invitado
90025,Invitado
90026,Egresado
90027,Padre
90028,Invitado
90029,Invitado
90030,Padre
90031,Padre
90032,Egresado
90033,Egresado
90034,Egresado
90035,Egresado
90036,Egresado
90037,Egresado
90038,Invitado
90039,Egresado
90040,Padre
90041,Egresado
90042,Egresado
90043,Padre
90044,Invitado
90045,Invitado
90046,Padre
90047,Egresado
90048,Egresado
90049,Invitado
90050,Invitado
90051,Padre
90052,Invitado
90053,Padre
90054,Egresado
90055,Padre
90056,Egresado
90057,Egresado
90058,Invitado
90059,Egresado
90060,Padre
90061,Egresado
90062,Invitado
90063,Invitado
90064,Invitado
90065,Padre
90066,Invitado
90067,Invitado
90068,Invitado
90069,Padre
90070,Egresado
90071,Invitado
90072,Padre
90073,Invitado
90074,Padre
90075,Invitado
90076,Egresado
90077,Egresado
90078,Padre
90079,Padre
90080,Invitado
90081,Invitado
90082,Invitado
90083,Egresado
90084,Padre
90085,Padre
90086,Invitado
90087,Padre
90088,Egresado
90089,Egresado
90090,Egresado
90091,Invitado
90092,Egresado
90093,Invitado
90094,Egresado
90095,Egresado
90096,Egresado
90097,Padre
90098,Invitado
90099,Invitado
90100,Egresado
90101,Invitado
90102,Invitado
90103,Padre
90104,Padre
90105,Invitado
90106,Padre
90107,Padre
90108,Egresado
90109,Invitado
90110,Egresado
90111,Egresado
90112,Padre
90113,Padre
90114,Invitado
90115,Egresado
90116,Padre
90117,Padre
90118,Egresado
90119,Egresado
90120,Invitado
90121,Padre
90122,Invitado
90123,Padre
90124,Egresado
90125,Invitado
90126,Invitado
90127,Egresado
90128,Invitado
90129,Egresado
90130,Padre
90131,Egresado
90132,Egresado
90133,Invitado
90134,Egresado
90135,Invitado
90136,Invitado
90137,Padre
90138,Invitado
90139,Invitado
90140,Invitado
90141,Invitado
90142,Egresado
90143,Padre
90144,Padre
90145,Invitado
90146,Egresado
90147,Padre
90148,Invitado
90149,Invitado
90150,Invitado
90151,Egresado
90152,Padre
90153,Invitado
90154,Padre
90155,Invitado
90156,Invitado
90157,Invitado
90158,Egresado
90159,Egresado
90160,Padre
90161,Egresado
90162,Padre
90163,Padre
90164,Egresado
90165,Egresado
90166,Invitado
90167,Invitado
90168,Padre
90169,Padre
90170,Padre
90171,Invitado
90172,Padre
90173,Egresado
90174,Invitado
90175,Egresado
90176,Padre
90177,Padre
90178,Padre
90179,Padre
90180,Egresado
90181,Egresado
90182,Padre
90183,Egresado
90184,Invitado
90185,Egresado
90186,Invitado
90187,Padre
90188,Padre
90189,Egresado
90190,Egresado
90191,Invitado
90192,Padre
90193,Egresado
90194,Invitado
90195,Invitado
90196,Padre
90197,Egresado
90198,Egresado
90199,Invitado
90200,Padre
90201,Padre
90202,Egresado
90203,Egresado
90204,Invitado
90205,Padre
90206,Invitado
90207,Egresado
90208,Padre
90209,Padre
90210,Egresado
90211,Padre
90212,Egresado
90213,Padre
90214,Padre
90215,Padre
90216,Padre
90217,Padre
90218,Egresado
90219,Padre
90220,Padre
90221,Invitado
90222,Padre
90223,Padre
90224,Padre
90225,Padre
90226,Egresado
90227,Padre
90228,Invitado
90229,Invitado
90230,Padre
90231,Invitado
90232,Padre
90233,Egresado
90234,Egresado
90235,Invitado
90236,Padre
90237,Egresado
90238,Invitado
90239,Egresado
90240,Padre
90241,Invitado
90242,Egresado
90243,Egresado
90244,Invitado
90245,Padre
90246,Invitado
90247,Padre
90248,Invitado
90249,Egresado
90250,Invitado
90251,Egresado
90252,Invitado
90253,Padre
90254,Invitado
90255,Invitado
90256,Egresado
90257,Egresado
90258,Egresado
90259,Egresado
90260,Padre
90261,Invitado
90262,Egresado
90263,Padre
90264,Egresado
90265,Invitado
90266,Padre
90267,Invitado
90268,Invitado
90269,Padre
90270,Padre
90271,Egresado
90272,Egresado
90273,Invitado
90274,Padre
90275,Invitado
90276,Padre
90277,Egresado
90278,Padre
90279,Egresado
90280,Padre
90281,Egresado
90282,Padre
90283,Egresado
90284,Padre
90285,Invitado
90286,Invitado
90287,Padre
90288,Padre
90289,Padre
90290,Invitado
90291,Padre
90292,Invitado
90293,Invitado
90294,Padre
90295,Padre
90296,Invitado
90297,Egresado
90298,Padre
90299,Invitado
90300,Invitado
90301,Invitado
90302,Invitado
90303,Egresado
90304,Padre
90305,Padre
90306,Egresado
90307,Padre
90308,Egresado
90309,Egresado
90310,Invitado
90311,Egresado
90312,Invitado
90313,Invitado
90314,Invitado
90315,Padre
90316,Invitado
90317,Egresado
90318,Invitado
90319,Egresado
90320,Invitado
90321,Egresado
90322,Padre
90323,Egresado
90324,Egresado
90325,Egresado
90326,Invitado
90327,Padre
90328,Egresado
90329,Egresado
90330,Padre
90331,Padre
90332,Padre
90333,Padre
90334,Egresado
90335,Invitado
90336,Invitado
90337,Egresado
90338,Padre
90339,Invitado
90340,Invitado
90341,Egresado
90342,Padre
90343,Egresado
90344,Egresado
90345,Padre
90346,Padre
90347,Invitado
90348,Egresado
90349,Padre
90350,Invitado
90351,Padre
90352,Egresado
90353,Invitado
90354,Invitado
90355,Padre
90356,Padre
90357,Egresado
90358,Egresado
90359,Padre
90360,Padre
90361,Padre
90362,Egresado
90363,Egresado
90364,Invitado
90365,Egresado
90366,Invitado
90367,Egresado
90368,Invitado
90369,Invitado
90370,Egresado
90371,Padre
90372,Invitado
90373,Padre
90374,Egresado
90375,Invitado
90376,Padre
90377,Invitado
90378,Padre
90379,Invitado
90380,Padre
90381,Padre
90382,Invitado
90383,Egresado
90384,Egresado
90385,Padre
90386,Padre
90387,Egresado
90388,Invitado
90389,Invitado
90390,Invitado
90391,Padre
90392,Invitado
90393,Padre
90394,Egresado
90395,Invitado
90396,Padre
90397,Egresado
90398,Invitado
90399,Egresado
90400,Egresado
90401,Egresado
90402,Egresado
90403,Invitado
90404,Egresado
90405,Padre
90406,Padre
90407,Invitado
90408,Invitado
90409,Invitado
90410,Egresado
90411,Invitado
90412,Egresado
90413,Egresado
90414,Egresado
90415,Padre
90416,Egresado
90417,Padre
90418,Invitado
90419,Padre
90420,Padre
90421,Padre
90422,Invitado
90423,Invitado
90424,Padre
90425,Egresado
90426,Egresado
90427,Padre
90428,Egresado
90429,Egresado
90430,Padre
90431,Padre
90432,Invitado
90433,Egresado
90434,Invitado
90435,Invitado
90436,Invitado
90437,Invitado
90438,Egresado
90439,Padre
90440,Invitado
90441,Egresado
90442,Invitado
90443,Padre
90444,Invitado
90445,Padre
90446,Invitado
90447,Egresado
90448,Egresado
90449,Invitado
90450,Invitado
90451,Egresado
90452,Egresado
90453,Egresado
90454,Invitado
90455,Egresado
90456,Invitado
90457,Invitado
90458,Egresado
90459,Egresado
90460,Invitado
90461,Egresado
90462,Egresado
90463,Egresado
90464,Invitado
90465,Invitado
90466,Invitado
90467,Invitado
90468,Padre
90469,Egresado
90470,Invitado
90471,Invitado
90472,Padre
90473,Egresado
90474,Invitado
90475,Egresado
90476,Padre
90477,Invitado
90478,Egresado
90479,Padre
90480,Invitado
90481,Egresado
90482,Invitado
90483,Egresado
90484,Padre
90485,Invitado
90486,Egresado
90487,Padre
90488,Padre
90489,Padre
