idServicio,nombre,costo
1,Sauna,315390
2,Cocina,234164
3,Turco,62358
4,Cocina,249530
5,Turco,487053
6,Turco,158727
7,Piscina,454599
8,Comida,14689
9,Comida,464918
10,Turco,457019
11,Comida,310976
12,Turco,444758
13,Turco,78540
14,Sauna,204976
15,Cocina,23217
16,Cocina,141398
17,Comida,368707
18,Spa,90896
19,Gimnasio,431320
20,Turco,47576
21,Gimnasio,97895
22,Spa,299727
23,Piscina,66222
24,Sauna,266991
25,Cocina,317421
26,Piscina,435229
27,Gimnasio,401354
28,Comida,421761
29,Sauna,241935
30,Cocina,114797
31,Gimnasio,298565
32,Comida,281490
33,Cocina,222277
34,Piscina,478486
35,Comida,242849
36,Spa,84304
37,Piscina,71150
38,Sauna,431752
39,Spa,375925
40,Spa,428890
41,Cocina,127516
42,Cocina,147095
43,Cocina,134882
44,Cocina,37658
45,Cocina,226000
46,Spa,417346
47,Comida,479059
48,Cocina,9943
49,Sauna,180387
50,Turco,255608
51,Comida,357538
52,Piscina,264687
53,Comida,11506
54,Gimnasio,391674
55,Cocina,438593
56,Comida,387181
57,Sauna,133774
58,Spa,335497
59,Comida,287324
60,Turco,262917
61,Spa,156974
62,Comida,295859
63,Cocina,357010
64,Comida,457531
65,Comida,183762
66,Sauna,498566
67,Comida,186156
68,Spa,499961
69,Turco,215609
70,Gimnasio,54205
71,Piscina,196438
72,Spa,302272
73,Spa,106786
74,Sauna,266318
75,Cocina,422621
76,Spa,184575
77,Sauna,80776
78,Sauna,62566
79,Gimnasio,296476
80,Turco,338891
81,Comida,33579
82,Comida,329288
83,Comida,289467
84,Cocina,31016
85,Sauna,247490
86,Sauna,469588
87,Turco,10936
88,Sauna,375441
89,Sauna,49043
90,Sauna,202828
91,Sauna,262259
92,Cocina,497602
93,Comida,342552
94,Gimnasio,249557
95,Turco,112641
96,Piscina,43777
97,Cocina,294590
98,Turco,399566
99,Spa,416235
100,Piscina,29954
101,Piscina,18000
102,Cocina,163580
103,Comida,88287
104,Cocina,224738
105,Sauna,31773
106,Cocina,330137
107,Cocina,419803
108,Piscina,367873
109,Turco,202275
110,Cocina,170765
111,Cocina,17544
112,Piscina,491072
113,Gimnasio,126809
114,Piscina,249218
115,Turco,84500
116,Sauna,199597
117,Spa,193021
118,Cocina,72081
119,Comida,419396
120,Piscina,415851
121,Piscina,442109
122,Sauna,480123
123,Cocina,175412
124,Comida,267629
125,Sauna,53294
126,Gimnasio,73800
127,Comida,432752
128,Spa,404215
129,Gimnasio,38769
130,Spa,367413
131,Comida,278486
132,Piscina,55717
133,Gimnasio,340161
134,Spa,36608
135,Piscina,278886
136,Piscina,84621
137,Turco,487135
138,Sauna,482178
139,Gimnasio,455630
140,Sauna,122606
141,Gimnasio,42255
142,Sauna,165047
143,Cocina,43816
144,Cocina,143124
145,Cocina,367771
146,Comida,188934
147,Spa,112908
148,Gimnasio,451127
149,Spa,124701
150,Sauna,244725
151,Sauna,492253
152,Spa,82861
153,Comida,232977
154,Comida,496959
155,Spa,262202
156,Cocina,155951
157,Spa,174834
158,Cocina,12466
159,Sauna,130572
160,Comida,412832
161,Turco,339943
162,Gimnasio,382326
163,Sauna,315799
164,Spa,196344
165,Piscina,498360
166,Gimnasio,316955
167,Sauna,342901
168,Gimnasio,333861
169,Gimnasio,65838
170,Turco,6916
171,Comida,49343
172,Gimnasio,442339
173,Comida,51841
174,Sauna,491100
175,Piscina,111550
176,Spa,18829
177,Spa,190328
178,Gimnasio,400585
179,Sauna,373939
180,Piscina,87456
181,Piscina,434838
182,Spa,487212
183,Comida,478542
184,Gimnasio,208005
185,Cocina,187021
186,Gimnasio,322845
187,Gimnasio,461548
188,Spa,336934
189,Cocina,289253
190,Cocina,469782
191,Turco,327494
192,Sauna,15853
193,Gimnasio,392894
194,Cocina,261422
195,Cocina,127736
196,Sauna,177185
197,Spa,372287
198,Cocina,245266
199,Gimnasio,174019
200,Turco,289524
201,Cocina,335495
202,Piscina,141476
203,Gimnasio,199851
204,Comida,485880
205,Piscina,126124
206,Cocina,152520
207,Spa,92900
208,Cocina,57714
209,Sauna,303968
210,Comida,392387
211,Spa,44552
212,Cocina,493264
213,Spa,390013
