idAlojamiento,numHabitaciones
150001,7
150002,9
150003,6
150004,8
150005,4
150006,8
150007,1
150008,4
150009,8
150010,8
150011,9
150012,9
150013,3
150014,6
150015,5
150016,8
150017,4
150018,5
150019,10
150020,2
150021,10
150022,6
150023,7
150024,5
150025,10
150026,7
150027,6
150028,2
150029,7
150030,3
150031,7
150032,6
150033,4
150034,3
150035,10
150036,10
150037,7
150038,8
150039,7
150040,5
150041,5
150042,5
150043,9
150044,4
150045,10
150046,8
150047,6
150048,7
150049,10
150050,10
150051,6
150052,4
150053,9
150054,3
150055,3
150056,3
150057,10
150058,10
150059,2
150060,6
150061,2
150062,10
150063,5
150064,10
150065,9
150066,1
150067,7
150068,1
150069,10
150070,3
150071,9
150072,2
150073,10
150074,4
150075,1
150076,2
150077,2
150078,6
150079,1
150080,1
150081,7
150082,4
150083,2
150084,2
150085,8
150086,4
150087,8
150088,3
150089,6
150090,2
150091,10
150092,6
150093,4
150094,3
150095,9
150096,1
150097,8
150098,3
150099,8
150100,7
150101,5
150102,4
150103,6
150104,5
150105,2
150106,5
150107,7
150108,3
150109,1
150110,3
150111,1
150112,3
150113,8
150114,5
150115,3
150116,2
150117,10
150118,4
150119,9
150120,7
150121,3
150122,9
150123,10
150124,1
150125,6
150126,1
150127,8
150128,9
150129,7
150130,5
150131,10
150132,5
150133,10
150134,6
150135,6
150136,7
150137,4
150138,1
150139,7
150140,9
150141,3
150142,9
150143,10
150144,2
150145,7
150146,3
150147,10
150148,5
150149,10
150150,2
150151,1
150152,9
150153,2
150154,10
150155,5
150156,8
150157,1
150158,5
150159,4
150160,3
150161,9
150162,1
150163,1
150164,6
150165,1
150166,10
150167,1
150168,1
150169,3
150170,2
150171,3
150172,2
150173,10
150174,7
150175,9
150176,7
150177,9
150178,1
150179,7
150180,1
150181,8
150182,2
150183,4
150184,3
150185,4
150186,10
150187,4
150188,8
150189,8
150190,2
150191,3
150192,8
150193,2
150194,3
150195,6
150196,6
150197,8
150198,10
150199,6
150200,2
150201,5
150202,10
150203,7
150204,8
150205,1
150206,7
150207,3
150208,9
150209,4
150210,6
150211,5
150212,3
150213,9
150214,6
150215,2
150216,10
150217,1
150218,5
150219,7
150220,8
150221,5
150222,5
150223,4
150224,2
150225,7
150226,8
150227,10
150228,3
150229,5
150230,10
150231,9
150232,4
150233,4
150234,4
150235,6
150236,7
150237,9
150238,5
150239,8
150240,8
150241,5
150242,5
150243,10
150244,9
150245,2
150246,8
150247,2
150248,8
150249,1
150250,4
150251,1
150252,10
150253,8
150254,6
150255,2
150256,4
150257,5
150258,9
150259,3
150260,6
150261,8
150262,5
150263,6
150264,8
150265,7
150266,9
150267,9
150268,5
150269,1
150270,4
150271,6
150272,7
150273,6
150274,8
150275,3
150276,1
150277,6
150278,5
150279,4
150280,1
150281,10
150282,5
150283,7
150284,5
150285,2
150286,9
150287,2
150288,7
150289,1
150290,8
150291,6
150292,9
150293,4
150294,6
150295,6
150296,4
150297,6
150298,7
150299,1
150300,9
150301,3
150302,2
150303,9
150304,6
150305,3
150306,5
150307,3
150308,2
150309,8
150310,4
150311,4
150312,2
150313,4
150314,6
150315,3
150316,9
150317,8
150318,5
150319,7
150320,8
150321,6
150322,6
150323,10
150324,6
150325,4
150326,2
150327,9
150328,5
150329,9
150330,10
150331,9
150332,3
150333,8
150334,6
150335,1
150336,8
150337,7
150338,7
150339,4
150340,9
150341,7
150342,5
150343,9
150344,2
150345,9
150346,2
150347,7
150348,6
150349,10
150350,8
150351,8
150352,7
150353,10
150354,5
150355,4
150356,2
150357,4
150358,2
150359,3
150360,4
150361,4
150362,4
150363,7
150364,9
150365,1
150366,3
150367,7
150368,2
150369,9
150370,10
150371,9
150372,2
150373,10
150374,5
150375,7
150376,7
150377,5
150378,10
150379,5
150380,10
150381,10
150382,4
150383,6
150384,10
150385,1
150386,2
150387,1
150388,1
150389,1
150390,6
150391,2
150392,3
150393,4
150394,3
150395,2
150396,5
150397,6
150398,6
150399,1
150400,6
150401,10
150402,3
150403,4
150404,10
150405,4
150406,2
150407,3
150408,8
150409,3
150410,9
150411,8
150412,5
150413,10
150414,3
150415,4
150416,6
150417,4
150418,4
150419,2
150420,8
150421,5
150422,3
150423,3
150424,9
150425,8
150426,3
150427,5
150428,9
150429,7
150430,10
150431,2
150432,9
150433,8
150434,9
150435,2
150436,7
150437,4
150438,5
150439,5
150440,4
150441,2
150442,7
150443,2
150444,1
150445,1
150446,10
150447,10
150448,2
150449,7
150450,9
150451,8
150452,2
150453,7
150454,3
150455,5
150456,7
150457,2
150458,4
150459,2
150460,10
150461,10
150462,6
150463,1
150464,2
150465,2
150466,8
150467,9
150468,3
150469,10
150470,7
150471,5
150472,2
150473,10
150474,8
150475,1
150476,2
150477,10
150478,10
150479,6
150480,1
150481,7
150482,8
150483,5
150484,9
150485,10
150486,4
150487,8
150488,2
150489,6
150490,5
150491,7
150492,10
150493,4
150494,10
150495,6
150496,3
150497,4
150498,4
150499,4
150500,8
150501,4
150502,7
150503,8
150504,1
150505,9
150506,7
150507,6
150508,4
150509,1
150510,10
150511,7
150512,4
150513,2
150514,9
150515,7
150516,4
150517,5
150518,1
150519,8
150520,7
150521,6
150522,3
150523,5
150524,3
150525,4
150526,5
150527,4
150528,3
150529,3
150530,3
150531,6
150532,2
150533,1
150534,4
150535,4
150536,9
150537,4
150538,6
150539,9
150540,8
150541,4
150542,4
150543,7
150544,7
150545,10
150546,6
150547,5
150548,3
150549,1
150550,3
150551,5
150552,9
150553,5
150554,8
150555,9
150556,6
150557,6
150558,6
150559,9
150560,10
150561,3
150562,6
150563,4
150564,10
150565,8
150566,2
150567,10
150568,6
150569,4
150570,4
150571,1
150572,7
150573,6
150574,10
150575,3
150576,9
150577,10
150578,9
150579,2
150580,9
150581,9
150582,2
150583,1
150584,9
150585,9
150586,10
150587,10
150588,3
150589,3
150590,9
150591,1
150592,8
150593,10
150594,2
150595,6
150596,6
150597,2
150598,1
150599,1
150600,7
150601,6
150602,5
150603,5
150604,5
150605,5
150606,2
150607,7
150608,2
150609,8
150610,6
150611,10
150612,7
150613,9
150614,7
150615,7
150616,7
150617,1
150618,3
150619,6
150620,1
