idAlojamiento,tipoHabitacion
1,Compartida
2,Individual
3,Compartida
4,Compartida
5,Compartida
6,Individual
7,Compartida
8,Compartida
9,Compartida
10,Individual
11,Compartida
12,Individual
13,Individual
14,Individual
15,Individual
16,Individual
17,Compartida
18,Compartida
19,Compartida
20,Individual
21,Compartida
22,Compartida
23,Compartida
24,Compartida
25,Individual
26,Individual
27,Individual
28,Compartida
29,Compartida
30,Compartida
31,Individual
32,Individual
33,Compartida
34,Compartida
35,Individual
36,Compartida
37,Compartida
38,Compartida
39,Individual
40,Individual
41,Individual
42,Individual
43,Compartida
44,Individual
45,Compartida
46,Compartida
47,Individual
48,Compartida
49,Individual
50,Compartida
51,Compartida
52,Compartida
53,Individual
54,Compartida
55,Compartida
56,Individual
57,Individual
58,Individual
59,Individual
60,Individual
61,Compartida
62,Compartida
63,Compartida
64,Individual
65,Individual
66,Compartida
67,Compartida
68,Individual
69,Compartida
70,Individual
71,Compartida
72,Individual
73,Individual
74,Compartida
75,Individual
76,Compartida
77,Compartida
78,Compartida
79,Compartida
80,Compartida
81,Individual
82,Compartida
83,Compartida
84,Individual
85,Individual
86,Compartida
87,Individual
88,Compartida
89,Individual
90,Compartida
91,Compartida
92,Compartida
93,Individual
94,Compartida
95,Individual
96,Individual
97,Individual
98,Individual
99,Compartida
100,Individual
101,Compartida
102,Individual
103,Individual
104,Individual
105,Individual
106,Compartida
107,Compartida
108,Compartida
109,Individual
110,Compartida
111,Compartida
112,Compartida
113,Compartida
114,Compartida
115,Compartida
116,Compartida
117,Individual
118,Compartida
119,Individual
120,Compartida
121,Compartida
122,Compartida
123,Compartida
124,Compartida
125,Compartida
126,Individual
127,Individual
128,Compartida
129,Individual
130,Individual
131,Compartida
132,Individual
133,Compartida
134,Compartida
135,Individual
136,Individual
137,Individual
138,Individual
139,Compartida
140,Compartida
141,Individual
142,Compartida
143,Compartida
144,Compartida
145,Individual
146,Compartida
147,Compartida
148,Compartida
149,Individual
150,Compartida
151,Compartida
152,Compartida
153,Individual
154,Individual
155,Individual
156,Individual
157,Individual
158,Individual
159,Individual
160,Individual
161,Individual
162,Individual
163,Individual
164,Compartida
165,Individual
166,Compartida
167,Compartida
168,Compartida
169,Compartida
170,Individual
171,Compartida
172,Compartida
173,Compartida
174,Individual
175,Individual
176,Compartida
177,Individual
178,Individual
179,Compartida
180,Compartida
181,Compartida
182,Compartida
183,Compartida
184,Compartida
185,Individual
186,Compartida
187,Compartida
188,Individual
189,Compartida
190,Compartida
191,Individual
192,Individual
193,Compartida
194,Individual
195,Individual
196,Individual
197,Compartida
198,Individual
199,Individual
200,Compartida
201,Individual
202,Compartida
203,Individual
204,Compartida
205,Compartida
206,Individual
207,Individual
208,Individual
209,Individual
210,Compartida
211,Individual
212,Compartida
213,Individual
214,Individual
215,Compartida
216,Individual
217,Compartida
218,Compartida
219,Individual
220,Compartida
221,Individual
222,Individual
223,Individual
224,Compartida
225,Individual
226,Individual
227,Individual
228,Individual
229,Compartida
230,Individual
231,Individual
232,Compartida
233,Individual
234,Compartida
235,Compartida
236,Individual
237,Individual
238,Compartida
239,Individual
240,Compartida
241,Compartida
242,Compartida
243,Individual
244,Individual
245,Compartida
246,Compartida
247,Compartida
248,Compartida
249,Compartida
250,Individual
251,Individual
252,Individual
253,Compartida
254,Compartida
255,Individual
256,Individual
257,Compartida
258,Individual
259,Compartida
260,Individual
261,Individual
262,Individual
263,Compartida
264,Individual
265,Individual
266,Compartida
267,Individual
268,Compartida
269,Compartida
270,Compartida
271,Compartida
272,Compartida
273,Individual
274,Individual
275,Individual
276,Compartida
277,Compartida
278,Individual
279,Individual
280,Compartida
281,Individual
282,Compartida
283,Individual
284,Compartida
285,Compartida
286,Compartida
287,Compartida
288,Individual
289,Individual
290,Individual
291,Compartida
292,Compartida
293,Compartida
294,Compartida
295,Compartida
296,Compartida
297,Individual
298,Compartida
299,Individual
300,Compartida
301,Compartida
302,Individual
303,Compartida
304,Compartida
305,Individual
306,Compartida
307,Compartida
308,Compartida
309,Individual
310,Individual
311,Individual
312,Compartida
313,Individual
314,Compartida
315,Individual
316,Compartida
317,Compartida
318,Individual
319,Individual
320,Compartida
321,Individual
322,Compartida
323,Individual
324,Compartida
325,Compartida
326,Individual
327,Compartida
328,Compartida
329,Individual
330,Compartida
331,Compartida
332,Individual
333,Compartida
334,Compartida
335,Individual
336,Compartida
337,Individual
338,Compartida
339,Individual
340,Individual
341,Individual
342,Individual
343,Compartida
344,Compartida
